country_name_am,country_name_en,iso3
Ալբանիա,Albania,ALB
Ալժիր,Algeria,DZA
Անգիլիա,Anguilla,AIA
Անգոլա,Angola,AGO
Անդորրա,Andorra,AND
Անհայտ երկիր,Unknown country,
Ավստրալիա,Australia,AUS
Ավստրիա,Austria,AUT
Արաբական Միացյալ Էմիրություններ,United Arab Emirates,ARE
Արգենտինա,Argentina,ARG
Արուբա,Aruba,ABW
Աֆղանստան,Afghanistan,AFG
Բահամներ,Bahamas,BHS
Բահրեյն,Bahrain,BHR
Բանգլադեշ,Bangladesh,BGD
Բարբադոս,Barbados,BRB
Բելառուս,Belarus,BLR
Բելգիա,Belgium,BEL
Բելիզ,Belize,BLZ
Բենին,Benin,BEN
Բերմուդա,Bermuda,BMU
Բոլիվիա,Bolivia,BOL
Բոսնիա եւ Հերցեգովինա,Bosnia & Herzegovina,BIH
Բոտսվանա,Botswana,BWA
Բուլղարիա,Bulgaria,BGR
Բուրկինա Ֆասո,Burkina Faso,BFA
Բուրունդի,Burundi,BDI
Բրազիլիա,Brazil,BRA
Բրունեյ Դարուսսալամ,Brunei Darussalam,BRN
Գամբիա,Gambia,GMB
Գայանա,Guyana,GUY
Գանա,Ghana,GHA
Գերմանիա,Germany,DEU
Գվադելուպա,Guadeloupe,GLP
Գվատեմալա,Guatemala,GTM
Գվինեա,Guinea,GIN
Գրենլանդիա,Greenland,GRL
Դանիա,Denmark,DNK
Դոմինիկա,Dominica,DMA
Դոմինիկյան Հանրապետություն,Dominican Republic,DOM
ԵՎՐՈՊԱԿԱՆ ՄԻՈՒԹՅՈՒՆ,European Union,
Եգիպտոս,Egypt,EGY
Եթովպիա,Ethiopia,ETH
Եմեն,Yemen,YEM
Զամբիա,Zambia,ZMB
Զիմբաբվե,Zimbabwe,ZWE
Էկվադոր,Ecuador,ECU
Էստոնիա,Estonia,EST
Էրիտրեա,Eritrea,ERI
Թաիլանդ,Thailand,THA
"Թայվան, Չինաստանի նահանգ",Taiwan,TWN
Թունիս,Tunisia,TUN
Թուրքիա,Türkiye,TUR
Թուրքմենստան,Turkmenistan,TKM
Ինդոնեզիա,Indonesia,IDN
Իռլանդիա,Ireland,IRL
Իսլանդիա,Iceland,ISL
Իսպանիա,Spain,ESP
Իսրայել,Israel,ISR
Իտալիա,Italy,ITA
Իրանի Իսլամական Հանրապետություն,Iran,IRN
Իրաք,Iraq,IRQ
Լաոս,Laos,LAO
Լատվիա,Latvia,LVA
Լեհաստան,Poland,POL
Լեսոտո,Lesotho,LSO
Լիբանան,Lebanon,LBN
Լիբիական Արաբական Ջամահիրիա,Libya,LBY
Լիխտենշտայն,Liechtenstein,LIE
Լիտվա,Lithuania,LTU
Լյուքսեմբուրգ,Luxembourg,LUX
Խորվաթիա,Croatia,HRV
Կաբո-Վերդե,Cabo Verde,CPV
Կամբոջա,Cambodia,KHM
Կամերուն,Cameroon,CMR
Կայմանի Կղզիներ,Cayman Islands,CYM
Կանադա,Canada,CAN
Կատար,Qatar,QAT
Կիպրոս,Cyprus,CYP
Կյուրասաո,Curaçao,CUW
Կոլումբիա,Colombia,COL
Կոմորներ,Comoros,COM
Կոնգոյի Ժողովրդավարական Հանրապետություն,Democratic Republic of the Congo,COD
Կոստա-Ռիկա,Costa Rica,CRI
Կոտ-դ՛Իվուար,Cote d'Ivoire,CIV
"Կորեա, ԺԺՀ",North Korea,PRK
Կորեայի Հանրապետություն,South Korea,KOR
Կուբա,Cuba,CUB
Հաիթի,Haiti,HTI
Հայաստան,Armenia,ARM
Հարավային Աֆրիկա,South Africa,ZAF
Հնդկաստան,India,IND
Հոնդուրաս,Honduras,HND
Հոնկոնգ,Hong Kong,HKG
Հորդանան,Jordan,JOR
Հունաստան,Greece,GRC
Հունգարիա,Hungary,HUN
Ղազախստան,Kazakhstan,KAZ
Ղըրղզստան,Kyrgyzstan,KGZ
Ճապոնիա,Japan,JPN
Մադագասկար,Madagascar,MDG
Մալայզիա,Malaysia,MYS
Մալավի,Malawi,MWI
Մալդիվներ,Maldives,MDV
Մալթա,Malta,MLT
Մալի,Mali,MLI
Մակաո,Macao,MAC
Մավրիկիա,Mauritius,MUS
Մավրիտանիա,Mauritania,MRT
Մարոկկո,Morocco,MAR
Մարտինիկա,Martinique,MTQ
Մեքսիկա,Mexico,MEX
Միացյալ Թագավորություն,United Kingdom,GBR
Միացյալ Նահանգներ,United States,USA
Մյանմա,Myanmar,MMR
Մոզամբիկ,Mozambique,MOZ
Մոլդովայի Հանրապետություն,Moldova,MDA
Մոնակո,Monaco,MCO
Մոնղոլիա,Mongolia,MNG
ՆՀՀ Մակեդոնիա,North Macedonia,MKD
Նամիբիա,Namibia,NAM
Նեպալ,Nepal,NPL
Նիգեր,Niger,NER
Նիգերիա,Nigeria,NGA
Նիդերլանդներ,Netherlands,NLD
Նիկարագուա,Nicaragua,NIC
Նիուե,Niue,NIU
Նոր Զելանդիա,New Zealand,NZL
Նոր Կալեդոնիա,New Caledonia,NCL
Նորվեգիա,Norway,NOR
Շվեդիա,Sweden,SWE
Շվեյցարիա,Switzerland,CHE
Շրի Լանկա,Sri Lanka,LKA
Ուգանդա,Uganda,UGA
Ուզբեկստան,Uzbekistan,UZB
Ուկրաինա,Ukraine,UKR
Ուրուգվայ,Uruguay,URY
Չեխիայի Հանրապետություն,Czech Republic,CZE
Չերնոգորիա,Montenegro,MNE
Չիլի,Chile,CHL
Չինաստան,China,CHN
Պակիստան,Pakistan,PAK
"Պաղեստինյան տարածք, գրավյալ",Palestine,PSE
Պանամա,Panama,PAN
Պապուա-Նոր Գվինեա,Papua New Guinea,PNG
Պարագվայ,Paraguay,PRY
Պերու,Peru,PER
Պորտուգալիա,Portugal,PRT
Պուերտո-Ռիկո,Puerto Rico,PRI
Ջամայկա,Jamaica,JAM
Ռեյունիոն,Réunion,REU
Ռուանդա,Rwanda,RWA
Ռումինիա,Romania,ROU
Ռուսաստանի Դաշնություն,Russian Federation,RUS
Սալվադոր,El Salvador,SLV
Սան Մարինո,San Marino,SMR
Սան Տոմե եւ Պրինսիպի,Sao Tome and Principe,STP
Սաուդյան Արաբիա,Saudi Arabia,SAU
Սեյշելյներ,Seychelles,SYC
Սեն Մարտին (Նիդերլանդներ),Sint Maarten (Dutch part),SXM
Սենեգալ,Senegal,SEN
Սերբիա,Serbia,SRB
Սիեռա Լեոնե,Sierra Leone,SLE
Սինգապուր,Singapore,SGP
Սիրիայի Արաբական Հանրապետություն,Syria,SYR
Սլովակիա,Slovakia,SVK
Սլովենիա,Slovenia,SVN
Սողոմոնյան Կղզիներ,Solomon Islands,SLB
Սոմալի,Somalia,SOM
Սուդան,Sudan,SDN
Սուրբ Հեղինե,Saint Helena,SHN
Սուրինամ,Suriname,SUR
Սվազիլենդ,Eswatini,SWZ
Վանուատու,Vanuatu,VUT
Վենեսուելա,Venezuela,VEN
Վիետնամ,Vietnam,VNM
Վիրջինյան Կղզիներ (ԱՄՆ),U.S. Virgin Islands,VIR
Վրաստան,Georgia,GEO
Տանզանիայի Միացյալ Հանրապետություն,Tanzania,TZA
Տաջիկստան,Tajikistan,TJK
Տոգո,Togo,TGO
Տոկելաու,Tokelau,TKL
Տրինիդադ եւ Տոբագո,Trinidad & Tobago,TTO
Քենիա,Kenya,KEN
Քուվեյթ,Kuwait,KWT
Օման,Oman,OMN
Ֆարերյան Կղզիներ,Faroe Islands,FRO
Ֆիլիպիններ,Philippines,PHL
Ֆինլանդիա,Finland,FIN
Ֆիջի,Fiji,FJI
Ֆրանսիա,France,FRA
Ֆրանսիական Պոլինեզիա,French Polynesia,PYF
